timestamp,open,high,low,close,volume
2025-09-20 09:55:13+03:00,115724.34,115724.34,115724.33,115724.33,0.01953
2025-09-20 09:55:14+03:00,115724.34,115724.34,115724.33,115724.33,0.03112
2025-09-20 09:55:15+03:00,115724.33,115724.33,115724.33,115724.33,0.0028
2025-09-20 09:55:16+03:00,115724.34,115724.34,115724.33,115724.33,0.01507
2025-09-20 09:55:17+03:00,115724.34,115724.34,115724.34,115724.34,7e-05
2025-09-20 09:55:18+03:00,115724.34,115724.34,115724.33,115724.34,0.01471
2025-09-20 09:55:19+03:00,115724.33,115724.33,115724.33,115724.33,0.014
2025-09-20 09:55:20+03:00,115724.34,115724.34,115724.34,115724.34,0.00033
2025-09-20 09:55:21+03:00,115724.34,115724.34,115724.33,115724.33,0.02027
2025-09-20 09:55:22+03:00,115724.33,115724.34,115724.33,115724.33,0.08842
2025-09-20 09:55:23+03:00,115724.34,115724.34,115724.33,115724.33,0.00466
2025-09-20 09:55:24+03:00,115724.34,115724.34,115724.33,115724.34,0.02977
2025-09-20 09:55:25+03:00,115724.34,115724.34,115724.33,115724.33,0.01407
2025-09-20 09:55:26+03:00,115724.33,115724.33,115724.33,115724.33,0.00019
2025-09-20 09:55:27+03:00,115724.34,115724.34,115724.33,115724.34,0.01639
2025-09-20 09:55:28+03:00,115724.34,115724.34,115724.33,115724.33,0.01407
2025-09-20 09:55:29+03:00,115724.34,115724.34,115724.34,115724.34,0.00239
2025-09-20 09:55:30+03:00,115724.34,115724.34,115724.33,115724.33,0.01418
2025-09-20 09:55:31+03:00,115724.34,115724.34,115724.33,115724.33,0.01445
2025-09-20 09:55:32+03:00,115724.33,115724.33,115724.33,115724.33,0.00744
2025-09-20 09:55:33+03:00,115724.34,115724.34,115724.33,115724.34,0.01507
2025-09-20 09:55:34+03:00,115724.33,115724.34,115724.33,115724.34,0.01661
2025-09-20 09:55:35+03:00,115724.33,115724.33,115724.33,115724.33,0.00114
2025-09-20 09:55:36+03:00,115724.34,115724.34,115724.33,115724.33,0.01541
2025-09-20 09:55:37+03:00,115724.34,115724.34,115724.33,115724.33,0.02325
2025-09-20 09:55:38+03:00,115724.33,115724.33,115724.33,115724.33,0.0
2025-09-20 09:55:39+03:00,115724.34,115724.34,115724.33,115724.33,0.01625
2025-09-20 09:55:40+03:00,115724.34,115724.34,115724.33,115724.33,0.01421
2025-09-20 09:55:41+03:00,115724.34,115724.34,115724.34,115724.34,0.0153
2025-09-20 09:55:42+03:00,115724.34,115724.34,115724.33,115724.33,0.01431
2025-09-20 09:55:43+03:00,115724.34,115724.34,115713.48,115713.48,1.44624
2025-09-20 09:55:44+03:00,115713.48,115713.49,115713.48,115713.48,0.00811
2025-09-20 09:55:45+03:00,115713.49,115713.49,115713.49,115713.49,0.05255
2025-09-20 09:55:46+03:00,115713.49,115713.49,115713.48,115713.49,0.1513
2025-09-20 09:55:47+03:00,115713.49,115713.49,115713.49,115713.49,0.00112
2025-09-20 09:55:48+03:00,115713.49,115713.49,115713.48,115713.48,0.01414
2025-09-20 09:55:49+03:00,115713.49,115713.49,115713.48,115713.49,0.10288
2025-09-20 09:55:50+03:00,115713.48,115713.49,115713.48,115713.49,0.01884
2025-09-20 09:55:51+03:00,115713.49,115713.49,115713.48,115713.49,0.04821
2025-09-20 09:55:52+03:00,115713.49,115713.49,115713.48,115713.48,0.02007
2025-09-20 09:55:53+03:00,115713.49,115713.49,115713.48,115713.49,0.01436
2025-09-20 09:55:54+03:00,115713.49,115713.49,115713.48,115713.48,0.01458
2025-09-20 09:55:55+03:00,115713.49,115713.49,115713.48,115713.49,0.00954
2025-09-20 09:55:56+03:00,115713.48,115713.48,115713.48,115713.48,0.01835
2025-09-20 09:55:57+03:00,115713.48,115713.49,115713.48,115713.49,0.01461
2025-09-20 09:55:58+03:00,115713.49,115713.49,115713.48,115713.49,0.00559
2025-09-20 09:55:59+03:00,115713.48,115713.49,115713.48,115713.49,0.01553
2025-09-20 09:56:00+03:00,115713.48,115713.48,115713.48,115713.48,0.01844
2025-09-20 09:56:01+03:00,115713.49,115713.49,115713.48,115713.48,0.1639
2025-09-20 09:56:02+03:00,115713.49,115713.49,115713.48,115713.49,0.07321
2025-09-20 09:56:03+03:00,115713.48,115713.48,115713.48,115713.48,0.01433
2025-09-20 09:56:04+03:00,115713.48,115713.49,115713.48,115713.49,0.05796
2025-09-20 09:56:05+03:00,115713.49,115713.49,115713.48,115713.49,0.01412
2025-09-20 09:56:06+03:00,115713.48,115713.49,115713.48,115713.48,0.01492
2025-09-20 09:56:07+03:00,115713.49,115713.49,115713.48,115713.48,0.15028
2025-09-20 09:56:08+03:00,115713.48,115713.49,115713.48,115713.49,0.01634
2025-09-20 09:56:09+03:00,115713.48,115713.49,115713.48,115713.48,0.22507
2025-09-20 09:56:10+03:00,115713.48,115713.48,115713.48,115713.48,0.15024
2025-09-20 09:56:11+03:00,115713.49,115713.49,115713.48,115713.48,0.10274
2025-09-20 09:56:12+03:00,115713.49,115713.49,115713.48,115713.48,0.00014
2025-09-20 09:56:13+03:00,115713.48,115713.49,115713.48,115713.48,0.17038
2025-09-20 09:56:14+03:00,115713.48,115713.49,115713.48,115713.48,0.02304
2025-09-20 09:56:15+03:00,115713.48,115713.49,115713.48,115713.49,0.01735
2025-09-20 09:56:16+03:00,115713.48,115713.49,115713.48,115713.48,0.1656
2025-09-20 09:56:17+03:00,115713.49,115713.49,115713.48,115713.49,0.07057
2025-09-20 09:56:18+03:00,115713.48,115713.49,115713.48,115713.49,0.01407
2025-09-20 09:56:19+03:00,115713.49,115713.49,115713.48,115713.48,0.23013
2025-09-20 09:56:20+03:00,115713.48,115713.49,115713.48,115713.49,0.00929
2025-09-20 09:56:21+03:00,115713.48,115713.49,115713.48,115713.49,0.01787
2025-09-20 09:56:22+03:00,115713.49,115713.49,115713.49,115713.49,0.00093
2025-09-20 09:56:23+03:00,115713.49,115713.49,115713.48,115713.49,0.01074
2025-09-20 09:56:24+03:00,115713.49,115713.49,115713.49,115713.49,0.04328
2025-09-20 09:56:25+03:00,115713.48,115713.49,115713.48,115713.48,0.01112
2025-09-20 09:56:26+03:00,115713.49,115713.49,115713.48,115713.49,0.04895
2025-09-20 09:56:27+03:00,115713.48,115713.48,115713.48,115713.48,0.00602
2025-09-20 09:56:28+03:00,115713.48,115713.49,115713.48,115713.49,0.00655
2025-09-20 09:56:29+03:00,115713.48,115713.49,115713.48,115713.49,0.03035
2025-09-20 09:56:30+03:00,115713.48,115713.48,115713.48,115713.48,0.00134
2025-09-20 09:56:31+03:00,115713.49,115713.49,115713.49,115713.49,0.00208
2025-09-20 09:56:32+03:00,115713.49,115713.49,115713.49,115713.49,0.06189
2025-09-20 09:56:33+03:00,115713.49,115713.49,115713.49,115713.49,0.0
2025-09-20 09:56:34+03:00,115713.49,115713.49,115713.49,115713.49,0.00011
2025-09-20 09:56:35+03:00,115713.49,115713.49,115713.49,115713.49,0.04383
2025-09-20 09:56:36+03:00,115713.48,115713.49,115713.48,115713.49,0.00141
2025-09-20 09:56:37+03:00,115713.49,115713.49,115713.48,115713.48,0.05184
2025-09-20 09:56:38+03:00,115713.49,115713.49,115713.48,115713.49,0.00094
2025-09-20 09:56:39+03:00,115713.48,115713.49,115713.48,115713.49,0.00939
2025-09-20 09:56:40+03:00,115713.49,115713.49,115713.48,115713.48,0.05696
2025-09-20 09:56:41+03:00,115713.49,115713.49,115713.49,115713.49,0.00011
2025-09-20 09:56:42+03:00,115713.48,115713.49,115713.48,115713.48,0.02238
2025-09-20 09:56:43+03:00,115713.48,115713.49,115713.48,115713.49,0.00144
2025-09-20 09:56:44+03:00,115713.48,115713.49,115713.48,115713.49,0.00046
2025-09-20 09:56:45+03:00,115713.49,115713.49,115713.49,115713.49,0.00127
2025-09-20 09:56:46+03:00,115713.49,115713.49,115713.48,115713.49,0.01119
2025-09-20 09:56:47+03:00,115713.49,115713.49,115713.48,115713.49,0.10548
2025-09-20 09:56:48+03:00,115713.49,115713.49,115713.48,115713.49,0.00269
2025-09-20 09:56:49+03:00,115713.49,115713.49,115713.49,115713.49,0.05139
2025-09-20 09:56:50+03:00,115713.49,115713.49,115713.49,115713.49,0.00654
2025-09-20 09:56:51+03:00,115713.49,115713.49,115713.49,115713.49,0.03314
2025-09-20 09:56:52+03:00,115713.48,115713.49,115713.48,115713.49,0.00094
2025-09-20 09:56:53+03:00,115713.48,115713.49,115713.48,115713.49,0.00023
2025-09-20 09:56:54+03:00,115713.49,115713.49,115713.49,115713.49,5e-05
2025-09-20 09:56:55+03:00,115713.48,115713.49,115713.48,115713.49,0.00312
2025-09-20 09:56:56+03:00,115713.49,115713.49,115713.48,115713.49,0.00113
2025-09-20 09:56:57+03:00,115713.49,115713.49,115713.49,115713.49,7e-05
2025-09-20 09:56:58+03:00,115713.49,115713.49,115713.48,115713.48,0.00334
2025-09-20 09:56:59+03:00,115713.49,115713.49,115713.48,115713.48,0.00165
2025-09-20 09:57:00+03:00,115713.49,115713.49,115713.49,115713.49,0.00298
2025-09-20 09:57:01+03:00,115713.49,115713.49,115713.48,115713.48,0.00025
2025-09-20 09:57:02+03:00,115713.49,115713.49,115713.48,115713.48,0.1165
2025-09-20 09:57:03+03:00,115713.48,115713.49,115713.48,115713.49,0.02412
2025-09-20 09:57:04+03:00,115713.48,115713.49,115713.48,115713.49,0.00101
2025-09-20 09:57:05+03:00,115713.49,115713.49,115713.48,115713.49,0.07516
2025-09-20 09:57:06+03:00,115713.49,115713.49,115713.49,115713.49,0.00014
2025-09-20 09:57:07+03:00,115713.49,115713.49,115713.48,115713.48,0.00107
2025-09-20 09:57:08+03:00,115713.49,115713.49,115713.49,115713.49,0.001
2025-09-20 09:57:09+03:00,115713.48,115713.49,115713.48,115713.49,0.001
2025-09-20 09:57:10+03:00,115713.49,115713.49,115713.49,115713.49,0.00129
2025-09-20 09:57:11+03:00,115713.49,115713.49,115713.49,115713.49,0.00022
2025-09-20 09:57:12+03:00,115713.48,115713.49,115713.48,115713.49,0.00015
2025-09-20 09:57:13+03:00,115713.49,115713.49,115713.49,115713.49,0.00394
2025-09-20 09:57:14+03:00,115713.49,115713.49,115713.48,115713.48,0.1939
2025-09-20 09:57:15+03:00,115713.49,115713.49,115713.49,115713.49,0.00053
2025-09-20 09:57:16+03:00,115713.49,115713.49,115713.49,115713.49,7e-05
2025-09-20 09:57:17+03:00,115713.48,115713.49,115713.48,115713.48,0.00842
2025-09-20 09:57:18+03:00,115713.49,115713.49,115713.49,115713.49,7e-05
2025-09-20 09:57:19+03:00,115713.49,115713.49,115713.49,115713.49,0.00063
2025-09-20 09:57:20+03:00,115713.49,115713.49,115713.49,115713.49,7e-05
2025-09-20 09:57:21+03:00,115713.49,115713.49,115713.48,115713.49,0.00323
2025-09-20 09:57:22+03:00,115713.48,115713.49,115713.48,115713.49,0.04255
2025-09-20 09:57:23+03:00,115713.48,115713.49,115713.48,115713.49,0.01307
2025-09-20 09:57:24+03:00,115713.49,115713.49,115713.49,115713.49,0.0002
2025-09-20 09:57:25+03:00,115713.49,115713.49,115713.48,115713.49,0.00515
2025-09-20 09:57:26+03:00,115713.49,115713.49,115713.48,115713.48,0.00034
2025-09-20 09:57:27+03:00,115713.49,115713.49,115713.48,115713.48,0.07779
2025-09-20 09:57:28+03:00,115713.49,115713.49,115713.49,115713.49,0.00117
2025-09-20 09:57:29+03:00,115713.49,115713.49,115713.49,115713.49,0.0003
2025-09-20 09:57:30+03:00,115713.49,115713.49,115713.48,115713.48,0.05541
2025-09-20 09:57:31+03:00,115713.48,115713.48,115713.48,115713.48,0.00058
2025-09-20 09:57:32+03:00,115713.49,115713.49,115713.48,115713.49,0.06672
